,title,url,date,content
0,Crunch Report | AOL Instant Messenger Is Shutting Down,https://techcrunch.com/2017/10/06/crunch-report-aol-instant-messenger-is-shutting-down/,2017/10/06," 



Today’s Stories 

AOL Instant Messenger is shutting down after 20 years
Apple is looking into reports of iPhone 8 batteries swelling
This smart bandage releases meds on command for better healing

Credits
Written by: Tito Hamze, John MannesHosted by: Tito HamzeFilmed by: Tito HamzeEdited by: Tito Hamze
Notes:

I don’t know what to wear on Crunch Report (It’s a hard decision and I suck at dressing myself). If you are a startup and want to me to wear something mail me an XL T-shirt and I’ll wear it in an episode. I’m not going to mention the company on the shirt in the episode but it will be there. No offensive stuff, it’s totally at my discretion if I wear it. Mail it to me. Thanks <3 Ok, bye.

TechCrunch C/O Tito Hamze
410 Townsend street
Suite 100
San Francisco Ca. 94107

"
1,Samsung Galaxy Note 4 refurbished batteries get recalled due to overheating concerns,https://techcrunch.com/2017/08/16/samsung-galaxy-note-4-refurbished-batteries-get-recalled-due-to-overheating-concerns/,2017/08/16,"
This is probably the last bit of news Samsung wanted to pop up in headlines in the weeks leading up to the Note 8 launch. Though, to be fair, this latest battery recall isn’t actually on Samsung. 
The US Consumer Product Safety Commission has issued a recall for refurbished Galaxy Note 4 batteries. While the news has undeniable echoes of last year’s massive Note 7 disaster, this time out, the fault appears to fall at the feet of potentially counterfeited batteries supplied by FedEx. 
As the company noted in a statement to TechCrunch, “FedEx Supply Chain handles more than the transportation of these devices. We deliver technology-based solutions for customers that include repair, refurbishment and testing.”
The batteries in question were installed in refurbished AT&T Note 4 units. The scale is much smaller than last year’s issues, impacting a little over 10,000 units, and thus far no injuries or property damage has been reported. Instead, there’s only a single case of overheating resulting from the non-OEM batteries. The fact that the Note 4 has a user-replaceable battery should help the whole thing go a bit more smoothly, as well. 
FedEx will be mailing out a new battery identified with a green dot to users who got a replacement Note 4 as part of an AT&T insurance program between last December and this past April. The company is also mailing out a pre-paid box to send back the old battery. 
“We are closely engaged with our customers to make sure all of these lithium batteries are safely and quickly returned, and will replace those lithium batteries free of charge for consumers,” the company said in a statement provided to TechCrunch. “FedEx Supply Chain places a high priority on the safe handling, packaging, and transport of our customers’ products and regrets any inconvenience this recall may cause.”
FedEx would not provide any more information regarding the origin of the batteries in question.

"
2,Mophie’s MacBook-charging battery pack is indispensable but overpriced,https://techcrunch.com/2017/08/09/mophies-macbook-charging-battery-pack-is-indispensable-but-overpriced/,2017/08/09,"
Every time we do a gift guide here, one editor suggests the same thing: external battery packs. Every time, like clockwork. And it’s true, everyone in your life probably needs one. We all wander through our days tempting fate by porting around gadgets with sub-par battery life.
The other big upside of gifting a power bank: they’re generally pretty inexpensive. Though that certainly doesn’t apply here — the Powerstation USB-C XXL is $150. And as its name implies, it’s pretty big as far as power banks go — at roughly the size of of an iPhone 7+ and about twice as thick.

Still, it manages to pack a lot of power into that footprint. At 19,500mAh, the Powerstation has a battery nearly seven times the size of the 7+. This is all overkill for phones, but the brick can also be used to charge a laptop. In the case of the 2015 MacBook, Mophie promises an added 14 hours of life.

That ability comes thanks to the wonders of USB-C. It used to be a lot trickier to make external batteries for MacBooks — take the sad tale of HyperMac, which had to cease production when Apple threatened the company over charging port patents. USB-C also means two-way power, so the battery can be refilled through the same port it uses to charge devices. The Powerstation still has two ports, however (one USB-C and one full USB), so you can charge your laptop and phone at the same time.
Even with all of that functionality, the Powerstation USB-C XXL is pretty pricey. You can already find higher capacity power banks from companies like Anker for less. With Mophie, you’re paying for, among other things, design. The cloth covering makes this one of the nicer power banks on the market, for whatever that’s worth.

While it’s big compared to smartphone-centric power banks, it’s impressive how much charging capacity companies are able to fit in the form factor these days. We’ve come a long way since those early Hypermac days. It’s probably a bit large and expensive for every day use, but the Powerstation will power your MacBook through just about any international flight,  if you find yourself without an outlet. 
I would have killed for one of these things back in my early live blogging days, when my laptop battery couldn’t be counted to make it all the way through a keynote on a charge. Even now, the thing is looking mighty tempting with the long days of CES coverage looming just over the horizon.

The Powerstation USB-C XXL isn’t the ideal gift for everyone, but it should make the frequent traveller or tech blogger on your list pretty happy. 

"
3,Crunch Report | Comma.ai Launches Panda,https://techcrunch.com/2017/07/07/crunch-report-comma-ai-launches-panda/,2017/07/07," 



Today’s Stories 

Comma.ai launches an $88 universal car interface called Panda
Diabetes platform mySugr exits to Roche for as much as $100M
Tesla will build world’s largest battery storage facility for Australian wind farm

Credits
Written by: Tito Hamze, John MannesHosted by: Tito HamzeFilmed by: Joe ZolnoskiEdited by: Chris Gates
Notes:

I don’t know what to wear on Crunch Report (It’s a hard decision and I suck at dressing myself). If you are a startup and want to me to wear something mail me an XL T-shirt and I’ll wear it in an episode. I’m not going to mention the company on the shirt in the episode but it will be there. No offensive stuff, it’s totally at my discretion if I wear it. Mail it to me. Thanks <3 Ok, bye.

TechCrunch C/O Tito Hamze
410 Townsend street
Suite 100
San Francisco Ca. 94107

"
4,Watts is a huge battery that powers your home,https://techcrunch.com/2017/05/16/watts-is-a-huge-battery-that-powers-your-home/,2017/05/16,"Like Tesla’s Powerwall, Watts is a big battery that can power your home. One Watts cell can support a few small appliances including computers and refrigerators and a few units can power TVs and electric washers. The units can charge via the grid or with solar panels and the Watts units include an app that shows discharge and battery remaining.
The batteries, which were designed in Russia, are stackable which means you can add as many or as few devices to your power network. They can also send energy back onto the grid as necessary. It offers 1.5 kW with a 3kW peak and a capacity of 1.2 kWh.
The company is shipping batteries in August and one unit costs $2,999. They aim to be the LEGO of high-end home batteries, allowing you to add some real power storage to your home, office, or Zombie-proof bunker.

"
5,Zero Motorcycles CTO Abe Askenazi on the future of two-wheeled EVs,https://techcrunch.com/2017/03/23/zero-motorcycles-cto-abe-askenazi-on-the-future-of-two-wheeled-evs/,2017/03/23,"
Electric cars and buses have already begun to take over the world, as evidenced by daily sightings of EV brands like Tesla, Prius, Bolt and Proterra on U.S. roads. But two-wheeled EVs are still a rare sight. The motorcycle industry has been much slower to put out all-electric and hybrid models relative to peers in automotive.
Big brands like Harley, Honda and Ducati don’t have EV motorcycles on the market today, though customers have indicated interest when they’ve teased electric concepts. And a few startups have failed to make electric bikes that could give combustion engine models a run for their money.
Mission Motors went bankrupt. Brammo put its Empulse EV motorcycles out there to some fanfare, but the small Oregon-based startup sold its bike business to Polaris. The parent company of Victory Motorcycles, Polaris eventually killed off the Empulse. And Brammo now sells power systems to other vehicle and equipment makers.
Survivors and newcomers are still churning out EV motorcycles, though. They include Zero Motorcycles, Lightning Motorcycle and Alta Motors in the U.S., Energica Motor in Italy and China’s Evoke Motorcycles. All are helping to awaken market demand. According to forecasts from ID Tech Ex, the market for smaller electric vehicles, including motorcycles, will comprise about 5 percent of overall EV sales, generating some $35 billion annually by 2027.
Zero Motorcycles CTO Abe Askenazi.
TechCrunch recently caught up with Zero Motorcycles CTO Abe Askenazi, who has been in the motorcycle industry for about two decades, to get his take on what could make electric motorcycles the first choice for riders.
Askenazi said right now, a lot of Zero Motorcycles’ customers buy the company’s EV bikes alongside market-leading V-twins and V-4s. To him, that indicates Zero’s bikes perform at the same or better levels as riders’ long-held favorites.
Besides that, he said, electric bikes are quiet, so riders can hear what’s happening around them, and won’t disturb the peace, which their neighbors appreciate. That quietude is one reason police departments buy Zero Motorcycles for their fleets. They can ride at any hour, and approach suspects stealthily if they drive electric.
Of course, electricity costs less than gas most of the world over. That’s appealing to a certain set of riders — so is the ability to power your bike with solar or wind-generated electricity for those most eco-minded motorcycle enthusiasts.
Zero Motorcycles’ dual-sport electric, the Zero DS.
Zero’s today makes everything from lightweight “hot rods” to sporty off-road models that cost from $8,495 to $15,995. Appreciated for their acceleration, speed, control and easy-to-read instruments, in the past the bikes drew complaints around range. The company has worked hard to improve its battery tech, however, and some bikes in Zero’s 2017 lineup promise 200 miles per charge. That compares to e-motorcycles with a 40-mile range made by Zero just a few years ago.
“Optimization of chemistry has gotten us here. The beautiful thing is that batteries are plug-and-play. When that battery comes that will give you 1,000 miles, we’ll be able to use it,” the CTO said. “Where the industry is going though is not so much a bigger battery to go further between charges, but faster charging so you can go grocery shopping, plug it in, come back and then you’re ready to go again.”
Over time, batteries will take up less weight and space on e-motorcycles, beyond what we can even envision today, the CTO said. That will leave room for cargo and other components, potentially. Already, Zero Motorcycles S and DS bikes give riders a large storage space behind the batteries. “You gain a lot of practicality with this bike,” Askenazi said. Lighter-weight and stronger materials will also transform design, he predicts.


Featured Image: Gregory Manalo/TechCrunch
"
6,Faulty batteries caused a small fire at a Samsung plant in China,https://techcrunch.com/2017/02/08/samsung-fire/,2017/02/08,"
Samsung has seemingly put its on-going Galaxy Note 7 issues behind it, courtesy of a couple of recalls, an expensive investigation and promises to implement stricter standards. But the company’s battery woes aren’t yet fully behind it, as it was no doubt reminded earlier today when a small fire broke out in a plant located in Tianjin, China.
The company reported that the fire, localized in a waste facility was subsequently extinguished, with no casualties or equipment damage. The company didn’t offer much in the way of explanation beyond that, though Reuters notes that the local fire department announced via social media that the “material that caught fire was lithium batteries inside the production workshops and some half-finished products.”
Plant operator Samsung SDI was notably one of two suppliers of batteries for the Note 7, ultimately taking much of the heat for the phablet’s troubles. It’s also set to become a supplier for the company’s upcoming Galaxy S8 flagship, the first device to benefit from stricter battery oversight.
Earlier this week, Samsung’s home country of South Korea announced plans to increase regulation around lithium-ion batteries in the wake of the Note 7 news.

"
7,"HP recalls an additional 101,000 batteries over fire concerns",https://techcrunch.com/2017/01/25/hp-recall/,2017/01/25,"
Back in June, HP recalled 41,000 batteries in the US over concerns surrounding overheating, fire and burn hazards. This week, the company’s tacked a pretty massive number onto that tally, adding 101,000 additional batteries (on top of around 4,000 in Mexico and 3,000 in Canada).
The recall, detailed by the US Consumer Product Safety Commission, covers lithium ion units compatible with HP, Compaq, HP ProBook, HP ENVY, Compaq Presario and HP Pavilion systems sold between March 2013 and October of last year through Best Buy, Walmart, Costco, Sam’s Club and HP’s site.
The additional recall was spurred on by a report of an overheating system that melted and caused charring, resulting in around $1,000 in property damages. The CPSC is recommending that consumers stop using the batteries, pull them out of their laptop and contact HP for a replacement.
According to an HP rep who spoke to CNET about the matter, the recall, while large, apparently effects around one-percent of the laptops the company sold during the three-and-a-half year timeframe covered by the CPSC.

Featured Image: https://www.flickr.com/photos/ddebold//Flickr UNDER A CC BY 2.0 LICENSE
"
8,Next-gen Samsung EV battery gets 300+ miles of range from a 20-minute charge,https://techcrunch.com/2017/01/09/next-gen-samsung-ev-battery-gets-300-miles-of-range-from-a-20-minute-charge/,2017/01/09,"
Samsung’s SDI battery subsidiary announced a new battery cell designed for use in electric vehicles that offers improved density to manage a max range of up to 372 miles on a full charge, with a quick charge capacity that will help it regain 310 miles or so of charge on just 20 minutes of charging. Unveiled at the North American International Auto Show for the first time, the new battery tech come with a 10 percent decrease in the number of units and weight required vs. current production battery units made by Samsung SDI.
Mass production isn’t set to begin until 2021, but the tech should arrive in time to supply the first crop of autonomous cars, which are also targeting street dates sometime within that year from a range of manufacturers. EV and self-driving are tied closely to one another, since both are crucial components for operating the kind of on-demand ride-sharing fleets planned by Ford, among others.
A 20-minute charge delivering that kind of range would help considerably with making EVs more practical for more drivers; it’s around the time you’d spend at a rest stop using the restroom and grabbing coffee or a snack, after all. By comparison, Tesla’s superchargers currently manage to provide around 170 miles of range on a half-hour charge, so Samsung’s planned tech could approximately double that.
Tesla’s long-term goal, according to CTO JB Straubel at the time of the Supercharger’s first unveiling, is to get charging times down to between five and 10 minutes, and it has been quietly boosting the maximum theoretical output of the stations themselves (though Tesla vehicle batteries are still limited to 120 kW in terms of how much power input they can accept).
Tesla produces its own batteries in partnership with Panasonic, and just began construction on its latest generation cells at its Gigafactory in Nevada, while Samsung’s new 21700 cylinder cell model is currently being used by “U.S. automobile startups” in their EVs, according to Samsung SDI. One of those startups is Lucid Motors, a new EV company with a lot of Tesla talent on board.

"
9,URB-E’s newest foldable electric scooter cuts the price to $899,https://techcrunch.com/2017/01/07/urb-es-newest-foldable-electric-scooter-cuts-the-price-to-899/,2017/01/07," 



URB-E is a foldable electric scooter that first launched in prototype-form back at CES in January 2014.
Last year we checked out a version that could carry an adult up to 20 miles at a speed of 15 MPH. While we liked the vehicle, we though the $1,499 price point was a bit too prohibitive for it to truly become mainstream.
So now the company is back with a much more affordable version, that is arguably better than the original.
It’s called the URB-E Sport, and has the same foldable form factor as its older siblings. It has a max range of 16 miles, and a top speed of 14 MPH. And it’s only $899. Considering a Boosted Board will run you somewhere between $999 and $1,599, the new URB-E is actually a pretty great deal if you’re in the market for an urban mobility device.
Part of this cost savings will come from a smaller battery – URB-E explained that many customers weren’t using the full 20 miles of range the Pro’s battery provided. But in return for the reduced capacity, URB-E made the battery removable and added 4 traditional USB and a USB Type-C port – meaning you can charge your phone (or laptop) while you ride. And since it’s removable you can actually use the battery as an external charging pack – at full charge it will charge an iPhone 40 times.
Check out the video above to see the URB-E Sport in action.

"
