,title,url,date,content
0,Toyota’s ‘Fine-Comfort Ride’ fuel cell concept aims for long-range flexibility,https://techcrunch.com/2017/10/18/toyotas-fine-comfort-ride-fuel-cell-concept-aims-for-long-range-flexibility/,2017/10/18,"
Toyota is debuting a new concept vehicle for the forthcoming Tokyo Motor Show, and it’s a fuel cell vehicle that’s designed to get around 1,000 km (around 621 miles) on a single hydrogen pack that can be refuelled in about 3 minutes total. The concept looks like an aggressively future-styled minivan, though it’s billed as a “premium saloon,” and it’s got an interior design that emphasizes second row seating space.
The Fine-Comfort Ride is designed to be flexible in its seat configuration, so that it can use used maximally by just one occupant, or rather as a meeting or communication and collaboration room for a group.



20171018_02_12




20171018_02_13




20171018_02_16




20171018_02_17




20171018_02_01




 View Slideshow


Previous
Next
Exit


It’s also got a virtual Agent built into touch displays on the driver and passenger windows and screens, for a full surround infotainment experience. The motors are in the wheels, positioned at the absolute outside edges of the car, too, which Toyota says makes for silent running and quite operation.
There are also no dividing pillars separating the front and rear seats, and the bucket seating looks like lounge furnishings from a Blade Runner movie. It’s actually a super cool vision of future mobility, albeit probably not a particularly realistic one.
Toyota should have plenty more to show off at the Tokyo Motor Show next week, so stay tuned for more big reveals, and hopefully more far-out concepts.

"
1,GM to introduce two new all-electric cars by 2019 in path to zero emissions,https://techcrunch.com/2017/10/02/gm-to-introduce-two-new-all-electric-cars-by-2019-in-path-to-zero-emissions/,2017/10/02,"
GM today announced a strategy to eventually deliver a zero emission product line across all its segments, though it didn’t put a specific timeline on when it would achieve that goal. The process is complex, said Mark Reuss, EVP Global Product Development, and GM doesn’t see there being “one year where we flip a switch and it’s all electric.”
Still, GM is committing to rolling out two new all-electric vehicles within the next 18 months, and to having at least 20 new all-electric vehicles in the market by 2023. GM also debuted its new SURUS fuel-cell concept platform today, which is a four-wheel steering concept truck-based vehicle with two electric motors and a flexible design which could work with a range of different vehicles in commercial capacities, including delivery vehicles, trucks or ambulances.
This build on previous declarations made by GM CEO Mary Barra, who announced that the company is ultimately committed to world with zero emissions, and zero crashed. The Chevrolet Bolt has helped immensely with progress towards the zero emissions part, Reuss said.
He noted that GM has sold “thousands” of the Bolt in its first year, and that Chevrolet customers “love them.” Reuss also added that the Bolt is a “window into how GM will move humanity forward in the future, with all-electric propulsion.”
Reuss added that “GM believes the future is all-electric,” and that “these aren’t just words in a war of press releases,” referring to the spate of recent announcements by automakers committing to offering either hybrid or electric versions of their entire lineup by some future date. GM cautioned that its approach will be more methodical, however, and based on user feedback.
“An electric solution cannot be one size fits all,” Reuss said. “We believe you need both battery electric and fuel cell electric… how we apply each of these technologies will depend on what we hear from customers about their needs.”
Meanwhile, GM said it will continue to increase efficiency of fuel injection vehicles to facilitate the transition. Reuss noted that GM has advantages in this race because
“light weighting of vehicles has been a priority over many years,” even with its fuel cars, and you then combine that with the agility of the battery pack, and GM’s strategy of reducing the coast of battery packs in use by reducing the size of the battery pack itself to find its competitive advantage.
Reuss repeatedly emphasized the importance of fuel cell electric in GM’s zero emission strategy, since it’ll become part of both consumer retail and military, commercial, utility segments for the automaker. He said that they’ll start with commercial infrastructure to support such a rollout, and then have that transition to informing the retail segment infrastructure rollout as well.

"
2,Honda Clarity grows from one-shot to series,https://techcrunch.com/2017/06/22/honda-clarity-grows-from-one-shot-to-series/,2017/06/22,"
For years, the Honda Clarity has been one thing: a hydrogen fuel-cell-powered sedan available for lease to a vetted group of early adopters in California. Now in its third generation, the Honda Clarity fuel-cell car is still basically that. But it’s getting a couple of friends.
This year, the Honda Clarity adds two new versions: an all-electric car and a plug-in hybrid. Granted, the fuel cell Clarity is technically an electric car, but the electric version charges at any outlet rather than being fueled at a so-far rare hydrogen fueling station.
The three were shown together for the first time in the United States since their unveiling at the New York Auto Show at the Drive Revolution event in Portland, Oregon. Journalists had the chance to drive them back to back to evaluate their similarities and differences over short urban routes — and to compare them to their energy-efficient competitors. There are, of course, similarities in the design; these are all Clarity models. There are subtle differences in the grilles, and they have badging specific to their drivetrain type, but otherwise they are identical large four-door sedans.
This one-car-many-powertrains strategy is one other manufacturers are using, as well, especially when it comes to advanced drivetrain technologies. Hyundai, for example, has the Ioniq series, with hybrid, PHEV and EV versions. As Natalie Kumaratne, a Clarity specialist for Honda, pointed out, this makes it easier for manufacturers to respond to changes in consumers’ buying habits.
Right now, PHEVs are gaining in popularity, and the Clarity PHEV will be available in all 50 states. The Clarity fuel cell is only available in California because that’s where the infrastructure exists to make these cars practical. The Clarity EV is somewhere in the middle of that mix. When hydrogen stations become more widespread, or when EV demand reaches a tipping point, the mix can change at the factory in Japan more easily than if these were separate models.
Driving dynamics for the three cars are very similar, but ranges are wildly different. The EV has a range of about 90 miles per charge; the PHEV drives 42 miles on electric power alone and 330 miles with the gasoline engine; and the fuel cell can travel 366 miles, the highest range of any zero-emissions vehicle in the country.
Kumaratne noted that Honda is all in on fuel cell technology. The company sees it as a major part of its electrification process, and it has set a goal of selling 75,000 total Clarity vehicles in the United States in the next four years. That’s part of its larger goal of having 60 percent or more of its sales worldwide be electric vehicles by 2030.

Featured Image: Kristen Hall-Geisler
"
3,Toyota Mirai’s fuel cell system scales up for semi trucks,https://techcrunch.com/2017/04/19/toyota-mirais-fuel-cell-system-scales-up-for-semi-trucks/,2017/04/19,"
The Toyota Mirai fuel-cell electric vehicle is so far a niche vehicle, but that hasn’t stopped Toyota from dreaming big — really big. Project Portal is a proof of concept semi truck that runs on a scaled-up version of the Mirai’s powertrain.
The Mirai is an four-door car, though, with a maximum weight of two tons. The proof of concept vehicle needs to haul 80,000 pounds, the combined gross vehicle weight of a big rig. So how many times do you have to scale the Mirai system to create that kind of power? Twice, according to Tak Yakoo, a senior executive engineer at Toyota.
“A semi is 36 tons, 18 times the size of a Mirai,” Yakoo said in a phone interview. “But we only use twice as much fuel cell and a relatively small battery.” The battery modules are flexible, so you can add more for a huge truck or fewer for a little passenger car or SUV. The scalability of the Mirai system is the point of the exercise, Yakoo said.
“Cars have so many different sizes of engines — 1.4L, 2.0L, 3.5L, etc.,” Yakoo said. “This is one standard fuel cell system with only a change of battery module size. That’s the dramatic change.” The system in the vehicle shown today at the Port of Los Angeles creates 670 hp and 1,325 lb-ft of torque, enough to move a full tractor-trailer and keep it moving down the highway.
For this concept, the engineers simply removed the components related to the diesel drive train and replaced them with the hydrogen fuel cell system. Taking out the diesel engine “leaves a huge space,” Yakoo said with a laugh. “Using that, we brought in the power electric controlling system, the fuel cells, the electric motor, and the fuel tank.” The tank did have to be fitted behind the cab for this demonstration vehicle.
This is only the beginning of Project Portal, a feasibility study in the use of zero-emissions vehicles for heavy duty. Toyota will begin working on the study along with the Port of Los Angeles’s Clean Air Action Plan this summer.
Toyota isn’t the only company working on emissions-free long-haul trucks. Nikola Motor Company has the Nikola One concept, and Elon Musk announced via tweet that Tesla will introduce a heavy-duty truck later this year.
It’s a tough nut to crack, though. “There are many unknown engineering things we need to explore,” Yakoo said. “We may not even know what is the sticking point or bottleneck” in these early stages of the project. “We are sure right now that I am seeing a fuel cell truck moving with 80,000 pounds of freight.”
Toyota’s overall goal is to produce one fuel cell system to rule them all, no matter the size. As Yakoo said at the end of our interview, “Scalability. That’s our dream — and my dream — to make it happen.”

Featured Image: Toyota Motor NA
"
4,GM and Honda partner to mass produce hydrogen fuel cells in Michigan,https://techcrunch.com/2017/01/30/gm-and-honda-partner-to-mass-produce-hydrogen-fuel-cells-in-michigan/,2017/01/30,"
Automakers GM and Honda are teaming up on a new venture to jointly manufacture hydrogen fuel cells at scale, with plans to start mass production by 2020 and a combined investment of $85 million split evenly between the two companies dedicated to the effort. Both GM and Honda intend to use the resulting hydrogen fuel cell system in future products, according to the companies.
The joint venture, which will be called Fuel Cell System Manufacturing, LLC, will build the fuel cells at GM’s existing Brownstown, Michigan-based battery pack construction facility, where it currently assembles battery packs for its Volt and Bolt EVs.
GM has been working on hydrogen fuel cell technology for quite some time across a number of industries. It’s working with the U.S. Navy on a fuel-cell powered submarine drone, for instance, and it’s also been developing a Colorado ZH2 test truck for the U.S. Army with a fuel cell powertrain that has a lot of flexibility when it comes to mission-based use.
Overall, the company has invested around $3 billion in development of fuel-cell tech, and is looking to field a fuel cell vehicle for consumers as soon as 2020. GM announced a partnership with Honda to develop production fuel cell technology back in 2013, and their timelines were remarkably similar to the one announced today. The companies also revealed their new, much smaller and more compact fuel cell design.
Dan Nicholson, VP of Global Propulsion Systems at General Motors said at a press conference announcing the joint venture that “we can safely say that today’s announcement officially marks the arrival of fuel cells.”



GM-Honda Next-Generation Fuel Cell 2017
GM-Honda Next-Generation Fuel Cell 2017



cq5dam-web-1280-1280-2




cq5dam-web-1280-1280-3




 View Slideshow


Previous
Next
Exit


Honda has a hydrogen fuel cell vehicle available already, in the FCX Clarity. The sedan will be joined by two other models, a fully electric and a plug-in hybrid, later this year.
By combining their efforts, Honda and GM are hoping to help drive manufacturing costs lower, faster. Demand for fuel cell systems across both automakers will help boost scale, and since the two are collaborating on sourcing, they’ll be able to achieve better prices for components from suppliers, too.
Fuel cell technology has significant advantages in terms of range and efficiency vs. both traditional fossil fuel vehicles and purely electric options, with advantages when it comes to refuelling times vs. electric charge.

"
5,DOE small biz voucher awards include vehicles and fuel cells,https://techcrunch.com/2016/08/31/doe-small-biz-voucher-awards-include-vehicles-and-fuel-cells/,2016/08/31,"
The US Department of Energy has awarded $8 million in Small Business Vouchers to 43 businesses, including ten projects aimed at making hydrogen fuel cells cheaper and more efficient, and six projects that will improve vehicle fuel efficiency, including better batteries.
In addition to funding from the DOE, participants in this second round of the SBV project will be working with 12 of the DOE’s national laboratories to accelerate the development of their technologies. For example, Nzyme2HC is paired with the National Renewable Energy Laboratory to generate hydrogen for fuel cells using, among other things, industrial waste. The SBV award allows Nzyme2HC to prototype and test the cleaner — and potentially cheaper — hydrogen fuel at NREL.
Vehicle technologies range from improved computer modeling and simulations to fuel innovations. Saratoga Energy is developing a process to manufacture graphite from carbon dioxide to be used in lithium-ion batteries for EVs, while Sylvatex is designing a nanoparticle fuel system to reduce emissions and incorporate renewables in petroleum with assistance from the Argonne National Laboratory.
The SBV project isn’t just for vehicles and related technology; other awards were in the Bioenergy, Buildings, Geothermal, Solar, Water, and Wind categories. Round one of the project launched in March with 33 vouchers totaling $6.7 million awarded. To get a piece of that funding pie in a future round, visit the project’s website to apply. More info will be available there in October 2016.

Featured Image: Kristen Hall-Geisler
"
6,You’re In Trouble If This Pee-Powered Energy System Leaks,https://techcrunch.com/2015/12/14/youre-in-trouble-if-this-pee-powered-energy-system-leaks/,2015/12/14,CONTENT ERROR
7,I Drove Toyota’s Car Of The Future And It Was Boring,https://techcrunch.com/2014/09/18/i-drove-toyotas-car-of-the-future-and-it-was-boring/,2014/09/18,"
While Tesla is getting everyone excited about the idea of sexy electric cars in every driveway, Toyota has been working on a different technological roadmap: The carmaker that made the hybrid category with the Prius thinks that the next generation of cars will be fueled by hydrogen, and it’s going to beat everyone to market with a model coming next year.
Earlier this week I got a chance to drive a couple of Toyota’s test models. One was an older Highlander, a small “SUV” that was based on the Camry platform. It was running on Toyota’s older hydrogen tech, but looked and felt like a real car — the interior was set up like a car you could have found on a lot five years ago.
The other model was a “mule,” built to test the latest hardware without giving away what the production model looks like, inside or out. This car was much lighter than the fuel-cell-powered Highlander, resulting in better performance than the Highlander-based model. Of course, it was also wrapped in a swirl-patterned skin that drew some odd gazes, and the interior was basically a duct-taped mess.
Testing oddities aside, my drives in Toyota’s fuel-cell cars were uneventful. Starting in the parking lots behind AT&T Park in San Francisco, I drove both cars down the Embarcadero and then through SOMA. Despite the cramped awfulness of dealing with San Francisco’s streets and drivers, I didn’t have any issues. Both cars were totally capable of picking up speed to make it through short lights and of stopping immediately when drivers in front of me spaced out entirely.
While the Highlander’s infotainment screen had a mode that showed where power was coming from (the car has a fuel cell and a Prius-sized battery), for the most part it just felt like driving a car that runs on gasoline or diesel.
That seems to be what Toyota is going for with its hydrogen-powered cars. In addition to announcing that it would have a fuel cell car for sale in the United States next year, the company has also been investing in the rollout of a hydrogen-fuel infrastructure in California that should be ready in time for the vehicle’s 2015 launch.
That means that if you live in Southern California or the Bay Area, you could buy a hydrogen-powered car next year and have an experience that isn’t too far from what you’d get with a gas guzzler: You’d still have about 300 miles of driving per tank, and you’d still have to go to a filling station when that tank runs out. The only differences would be that you’ll be driving a car with no engine sounds or harmful emissions (fuel cells simply create water as exhaust).
While I didn’t get to drive the actual car Toyota plans to release next year (expect them to release details, including what the interior looks like and the power train’s specs over the coming months so that this thing stays in the news — I did get to see what the final car will look like. Surprisingly, the car, which Toyota tells me will cost “more than a Prius but less than a Tesla,” still looks a lot like the concept vehicle Toyota first showed off early this year.



Toyota fuel cell car




Toyota fuel cell car




Toyota fuel cell car




 View Slideshow


Previous
Next
Exit



Featured Image: Kyle Russell
"
8,ClearEdge Power Wins $2.8 Million Grant To Evangelize Fuel Cells,https://techcrunch.com/2011/06/14/clearedge-power-pnnl-doe-grant/,2011/06/14," On Tuesday, ClearEdge Power— a cleantech startup that makes 5-kilowatt stationary fuel cells— announced that it won a $2.8 million grant from the Pacific Northwest National Laboratory (PNNL) to gets its technology out to the market more quickly. Targeted customers for ClearEdge Power include the owners and operators of hotels, groceries, schools, medical centers and fast food restaurants, among other light industrial power users.
The ClearEdge5 fuel cell (image, below) is about the size of a regular home refrigerator and produces power from natural gas. It is also designed to recycle the heat it generates for use within a facility where it is installed. Heat generated by the fuel cells’ power production can be harnessed, for example, to warm up a pool, a laundry room or the air in a building.
The PNNL grant project is part of the U.S. Department of Energy’s Fuel Cell Technologies Program, and is one of a slew of activities designed to: “support the development and deployment of hydrogen and fuel cell technologies, [domestically]” according to a PNNL press statement. Through the grant, PNNL funds up to 50 percent of the total project cost for each system ClearEdge Power installs.

Given $2.8 million in funding, ClearEdge Power agreed to install 38 systems for ten organizations that the company hand-picked because they were reputed sustainability leaders in their industries or geographic regions. As part of the deal, the organizations that get the half-priced systems and services agreed to allow PNNL access to their fuel cell’s performance data for five years [updated: Jun. 14, 2011 7:45 p.m. ET].
The grant is a first-of-its-kind award, according to PNNL project manager Mike Rinker. Most D.O.E. grants are to advance research and development and manufacturing, he explained.
Rinker’s team chose ClearEdge Power for the grant because, he said, “They had a system that was commercially available already in the 5-kilowatt to 100-kilowatt range, and could be deployed quickly.”
The ClearEdge5 uses an electrochemical process to convert natural gas (or propane) to electricity and heat. It’s a smaller unit than those offered by Bloom Energy, UTC Power or Fuel Cell Energy.
The company claims its systems: reduces the environmental impact of producing electricity by reducing carbon dioxide emissions by about 35 to 40 percent compared to traditional combustion power generation, and by avoiding the emission of volatile organic compounds, ash and particulates, to trace levels.
PNNL’s Rinker also noted:


“It’s hard to determine which sectors within the category of light industrial power users are the biggest consumers of energy from fossil fuels. It varies regionally, for one. Most companies in this category are grid-connected so they take what the utility can give them.
In Southern California and Northern California, a lot of that power comes from coal*. That’s why it makes sense to introduce businesses in this area, and in this category, or in areas that have access to a natural gas pipeline to fuel cell alternatives.
With companies like a 24-7 medical center, a hotel or a fast food restaurant that needs reliable electricity and heat, constantly, you can use both the heat and the power generated by a fuel cell to offset greenohouse gases, and make the case for the efficiency for this technology.
We’ll be starting to track the data in September this year.”

[*Ed’s note: coal is generally regarded as one of the most polluting forms of energy, if one of the more affordable, in the U.S.]
According to Mike Upp, vice president of marketing at ClearEdge Power, his company currently has 225 full-time employees, has so far sold 100 fuel cell systems and is headquartered in Hillsboro, Oregon with plans to expand operations on the east coast this year.

"
9,"America's First Pipeline-Fed, Hydrogen Fueling Station Now Open In Los Angeles",https://techcrunch.com/2011/05/11/us-first-hydrogen-fueling-station/,2011/05/11," America’s first pipeline-fed, retail hydrogen fueling station opened in Torrance, California, within Los Angeles county on Tuesday. The station will provide hydrogen for fuel cell and hybrid vehicles in the area. It was built through a joint effort by Toyota, Air Products and Shell alternative energies, with funding from the South Coast Air Quality Management District (SCAQMD) and the U.S. Department of Energy (DOE). The station’s first customer was the owner of a Honda FCX Clarity.
A handful of hydrogen fuel cell black cabs have already hit the streets in London. Hydrogen fuel cell forklifts are already widely available, and used in warehouse fleets from Wal-Mart to Whole Foods. Fuel cell cars — promised by manufacturers including Toyota, Daimler, GM, Honda, and Hyundai — are not slated for mass market availability until 2015, though. The dominant clean vehicle technology available in the U.S. remains the battery electric vehicle.
Fuel cells cars are said to* produce no greenhouse gas emissions. In actuality, they produce H2O (water vapor is a greenhouse gas) and CO2 depending on the source of the hydrogen used. Most industrial hydrogen is produced from the reformation of hydrocarbons. [Ed’s note: Before publishing this post, I was unable to verify from Shell, Toyota or Air Products what the exact source of hydrogen was for this L.A. station, or how carbon intensive its production process might be.]
They have a 130- to 430-mile range (according to Toyota’s statements about its own fuel cell vehicles). Battery electric vehicles, so far, offer a much shorter range, and can only go up to 200 miles before recharging, according to the U.S. Department of Energy. On the other hand, battery electric vehicles can be charged at home, while fuel cell vehicles require special fueling stations at this point.
Among others, Honda is working on a “home energy station” for to generate hydrogen at home for fuel cells. A bevy of electric vehicle chargers are already on the market, however, including from Coulomb, Aerovironment and ECOtality.
As noted on the U.S. Department of Defense (DOD) Fuel Cell Test and Evaluation Center (FCTec) website: Sir William Grove developed the first fuel cell in England in 1839, and in the 1950s, NASA and General Electric (GE) scientists developed the “Grubb-Niedrach fuel cell,” which became the first in the world to be used commercially.
Is the U.S. still leading the commercialization of fuel cells, globally? The executive director of the Fuel Cell & Hydrogen Energy Association (FCHEA), Ruth F. Cox, put things in perspective:


“There are somewhere around 600 [highway legal] fuel cell electric vehicles on the road, today. There are probably fewer than 50 different vehicle models in very limited production, now. That’s worldwide. We have about 150 of these vehicles [driving around] in the U.S.  We also have twenty some hydrogen fueling stations here, in California.
While the U.S. has led in terms of innovation, here, other countries have taken the lead in terms of building government and industry partnerships that bring together the oil and gas industry, alternative fueling companies, and the auto industry around an orchestrated plan for the deployment of infrastructure to support fuel cell vehicles.
Japan has made a commitment to deliver hundreds of refueling stations by 2015. Germany has committed to delivering thousands of stations by 2020.
As the technology matures, this will improve. Looking at battery electric vehicles, only thousands have been sold in the U.S. so far. It’s simply going to take some time.”

*The passage above was corrected and appended, May 11, 2011, 12:10 ET. A representative of the Fuel Cell & Hydrogen Energy Association referred to fuel cell vehicles as zero emissions vehicles in an interview. That statement was not meant literally, but I repeated the phrase in an earlier edition of this post. I’ve added details to clarify and maintain accuracy at the suggestion of commenter @Ben Kellie.

"
